Date,Time,Headlines,Description,Company,Ticker,headlines_polarity,description_polarity,Final_sentiment,Open,Close,Adj Close
2023-11-07,19:52:00,Cramer's Lightning Round: Cisco is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Cisco,CSCO,-0.2,-0.4125,1,53.34000015258789,53.130001068115234,53.130001068115234
2023-06-15,19:33:00,Cramer's Lightning Round: Microsoft is a winner,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Microsoft,MSFT,-0.2,-0.4125,1,337.4800109863281,348.1000061035156,347.36456298828125
2023-06-12,20:31:00,Cramer's Lightning Round: Teradyne is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Teradyne,TER,-0.2,-0.4125,1,106.41000366210938,109.45999908447266,109.34786224365234
2023-01-20,19:37:00,Cramer's lightning round: I like Juniper Networks,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Juniper Networks,JNPR,-0.2,-0.4125,1,31.36000061035156,31.459999084472656,30.77279090881348
2022-12-15,19:39:00,Cramer's lightning round: You can pick up some shares of IBM on Friday,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",IBM,IBM,-0.2,-0.4125,1,148.52000427246094,142.36000061035156,135.62420654296875
2022-11-28,19:30:00,Cramer's lightning round: Enphase Energy is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Enphase,ENPH,-0.2,-0.4125,1,316.5799865722656,312.2099914550781,312.2099914550781
2022-11-03,19:13:00,Cramer's lightning round: I'm sticking with Nvidia,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Nvidia,NVDA,-0.2,-0.4125,1,130.42999267578125,134.2100067138672,134.12796020507812
2022-10-04,19:12:00,Cramer's lightning round: Cisco is going to snap back big,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Cisco,CSCO,-0.0666666666666666,-0.4125,1,41.560001373291016,41.81999969482422,40.57622146606445
2022-07-14,19:45:00,Cramer's lightning round: I wouldn't mind buying Microchip Technology down here,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Microchip Technology,MCHP,-0.1777777777777778,-0.4125,1,59.119998931884766,60.93000030517578,59.54710388183594
2022-06-15,19:53:00,Cramer's lightning round: Applied Materials is a buy,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Applied Materials,AMAT,-0.2,-0.4125,1,97.8499984741211,97.41999816894533,96.25162506103516
2022-06-03,19:46:00,Cramer's lightning round: I like Lam Research over Taiwan Semiconductor,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",Lam Research,LRCX,-0.2,-0.4125,1,512.6900024414062,513.97998046875,503.6310119628906
