Headlines,Time,Description
Cramer's Lightning Round: 'Too much hype' for C3.ai,20 Hours Ago,"""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Energy Transfer is a buy," 7:21  PM ET Mon, 13 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's Lightning Round: Uber is a buy," 7:09  PM ET Fri, 10 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Buy AutoZone," 7:23  PM ET Thu,  9 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: 'Do not touch' UiPath," 7:18  PM ET Wed,  8 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Cisco is a buy," 7:52  PM ET Tue,  7 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Palantir is a buy," 7:47  PM ET Mon,  6 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Sell Seagen," 7:33  PM ET Fri,  3 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
,,
Cramer's Lightning Round: Realty Income is a buy," 7:22  PM ET Thu,  2 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: 'I don't like AT&T'," 6:54  PM ET Wed,  1 Nov 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's lightning round: Celsius is a buy," 7:14  PM ET Tue, 31 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Merck is a buy," 7:47  PM ET Mon, 30 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: 'Pass' on General Motors," 7:14  PM ET Fri, 27 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lighting Round: 'Stay away' from HF Sinclair," 6:57  PM ET Thu, 26 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Rivian is 'losing so much money'," 7:49  PM ET Wed, 25 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: AT&T is 'not my favorite'," 7:43  PM ET Tue, 24 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Sell Fisker," 7:16  PM ET Mon, 23 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
"Final Trades: BIIB, XRT, TSLA & GILD"," 6:05  PM ET Mon, 16 Oct 2023",The final trades of the day with CNBC’s Melissa Lee and the Fast Money traders.
Cramer's Lightning Round: Energy Transfer is a buy," 6:54  PM ET Fri, 13 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: Sell Phathom Pharmaceuticals," 7:21  PM ET Thu, 12 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
Cramer's Lightning Round: 'Can't be a fan' of Plug Power," 7:34  PM ET Wed, 11 Oct 2023","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed."
